label,c1,c2,h2,intensity
peak1,27.863,27.864,0.753,4.23E+07
peak2,27.886,23.594,0.982,8.82E+06
peak3,27.872,23.167,0.864,7.96E+06
peak4,27.248,27.246,0.985,1.73E+07
peak5,27.238,23.218,0.923,1.49E+07
peak6,27.235,23.989,0.509,8.23E+06
peak7,26.959,26.959,0.384,3.45E+07
peak8,26.964,21.141,0.791,1.19E+07
peak9,26.824,26.818,0.973,1.72E+08
peak10,26.810,26.437,1.019,1.39E+07
peak11,26.825,25.533,1.013,3.65E+07
peak12,26.813,24.542,0.690,1.09E+07
peak13,26.825,23.282,1.001,1.09E+07
peak14,26.810,22.508,0.930,1.11E+07
peak15,26.802,26.443,0.762,1.70E+07
peak16,26.609,26.608,1.239,1.12E+08
peak17,26.575,26.590,0.799,2.60E+07
peak18,26.624,26.614,0.641,1.20E+07
peak19,26.603,25.654,0.791,8.11E+06
peak20,26.634,24.177,1.126,1.23E+07
peak21,26.607,24.036,0.958,3.51E+07
peak22,26.623,24.059,0.767,1.14E+07
peak23,26.608,21.429,1.169,9.25E+06
peak24,26.615,11.922,0.802,1.97E+07
peak25,26.439,26.810,0.973,3.42E+07
peak26,26.405,26.405,1.019,8.71E+07
peak27,26.422,26.423,0.824,1.46E+08
peak28,26.429,26.429,0.763,6.65E+07
peak29,26.424,25.536,1.014,2.50E+07
peak30,26.416,25.175,0.439,2.09E+07
peak31,26.421,24.878,0.836,9.97E+06
peak32,26.417,24.544,0.690,4.43E+07
peak33,26.423,24.379,0.448,1.29E+07
peak34,26.428,23.360,0.547,1.52E+07
peak35,26.421,23.016,1.026,5.21E+07
peak36,26.415,22.491,0.930,5.13E+07
peak37,26.425,21.424,0.929,1.63E+07
peak38,26.429,21.111,0.644,3.19E+07
peak39,26.423,13.716,0.596,1.13E+07
peak40,26.422,13.312,0.650,1.13E+07
peak41,26.227,26.223,0.162,2.10E+07
peak42,26.228,23.211,0.726,1.29E+07
peak43,26.186,26.189,0.935,5.48E+07
peak44,26.177,23.778,0.959,2.09E+07
peak45,25.734,25.734,0.822,2.22E+08
